78	90	50
37	37	4
91	56	24
30	8	36
80	51	72
48	56	55
32	47	37
13	26	77
26	48	48
8	54	74
87	85	64
90	22	54
94	13	10
70	95	70
58	76	73
30	76	29
85	9	28
22	74	6
51	1	55
51	9	61
25	48	46
42	90	20
48	84	33
10	54	81
80	12	57
5	94	85
87	80	46
15	54	21
74	58	22
29	9	83
42	87	83
89	81	74
61	29	10
95	91	17
28	23	29
85	28	76
22	15	56
69	83	62
90	57	72
64	38	82
47	80	21
82	21	2
56	35	83
67	82	74
84	10	97
65	47	77
41	69	93
49	38	28
64	28	37
36	92	75
70	91	7
91	74	81
93	82	16
28	1	98
2	85	8
51	3	55
29	96	76
22	98	15
2	62	95
39	50	40
66	21	83
73	64	57
6	58	40
74	38	41
24	41	79
84	92	34
39	73	30
68	95	28
83	49	42
30	88	45
70	54	66
54	80	30
63	38	40
55	13	79
49	37	72
80	22	16
14	13	90
96	33	37
77	16	87
71	99	27
16	21	82
34	27	14
65	91	52
57	98	17
88	99	7
60	79	81
29	45	46
19	42	80
56	71	48
95	42	47
23	59	69
57	93	48
23	10	91
27	20	90
45	8	89
4	21	69
85	50	66
83	21	8
63	29	79
64	25	74
